ID,name
0005,SLS: Vorkommissionierung
0006,VKHM Anbringung durch den Lieferanten
0007,Auszeichnen im VZ
1007,Aufbügeln im VZ
2007,Sichern im VZ
3007,Umpacken im VZ
4007,Umzeichnen im VZ
5007,LOT auflösen im VZ
6007,Vollzählung Retoure  im VZ
7007,Vollkontrolle im VZ
8007,Lieferscheindruck im VZ
8007,Lieferscheindruck im VZ
